City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
22,East London,ZA,85.14,few clouds,-33.0153,27.9116,Tu Casa
23,Kavieng,PG,82.31,broken clouds,-2.5744,150.7967,Nusa Island Retreat
25,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
28,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
29,Port Elizabeth,ZA,85.1,few clouds,-33.918,25.5701,39 On Nile Guest House
31,Hermanus,ZA,82.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
68,Maceio,BR,81.84,scattered clouds,-9.6658,-35.7353,Poutur Pousada
72,Triunfo,BR,85.89,overcast clouds,-29.9433,-51.7181,Ilha das Pedras de Triunfo Hotel/RS
74,Alice Springs,AU,85.55,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
79,Lorengau,PG,81.88,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
81,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
96,Trairi,BR,81.95,few clouds,-3.2778,-39.2689,janelas do mar
108,Kruisfontein,ZA,82.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
115,San Vicente,AR,83.32,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
125,Cape Town,ZA,83.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
129,Saint-Philippe,RE,89.11,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
133,Kongoussi,BF,83.8,broken clouds,13.3258,-1.5347,Hôtel La Sagesse
143,Hithadhoo,MV,82.74,overcast clouds,-0.6,73.0833,Scoop Guest House
147,Galle,LK,81.03,overcast clouds,6.0367,80.217,Amangalla
150,Georgetown,MY,85.95,light rain,5.4112,100.3354,Cititel Penang
156,Concordia,AR,82.94,scattered clouds,-31.393,-58.0209,Palmar Hotel Casino
157,Mahebourg,MU,86.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
160,Kirakira,SB,80.96,overcast clouds,-10.4544,161.9205,SanBiz Lodge
172,Cidreira,BR,81.77,overcast clouds,-30.1811,-50.2056,Hotel Castelo
178,Poum,NC,80.15,broken clouds,-20.2333,164.0167,Gîte kajeon
183,Butaritari,KI,82.08,light rain,3.0707,172.7902,Isles Sunset Lodge
194,Swellendam,ZA,87.19,broken clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
199,Belmonte,BR,82.9,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
213,Sulangan,PH,80.08,overcast clouds,11.1373,123.7228,Maia's Beach Resort
214,Quelimane,MZ,89.51,broken clouds,-17.8786,36.8883,Hotel Flamingo
226,Souillac,MU,86.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
