,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,59.81,89,83,3.85,broken clouds
1,Mataura,NZ,-46.1927,168.8643,59.49,88,90,1.72,overcast clouds
2,Vaini,TO,-21.2,-175.2,79.86,72,64,2.28,broken clouds
3,Khatanga,RU,71.9667,102.5,-13.54,90,25,8.63,scattered clouds
4,Tromso,NO,69.6496,18.957,29.05,86,75,1.99,broken clouds
5,Torbay,CA,47.6666,-52.7314,23.27,88,75,26.46,light shower snow
6,Jamestown,US,42.097,-79.2353,9.72,10,0,4.21,clear sky
7,Kaitangata,NZ,-46.2817,169.8464,55.92,96,87,1.99,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,40.66,81,75,33.38,drizzle
9,Qaanaaq,GL,77.484,-69.3632,-9.35,70,27,8.14,scattered clouds
10,Punta Arenas,CL,-53.15,-70.9167,46.51,66,75,17.27,broken clouds
11,Albany,US,42.6001,-73.9662,-1.73,78,0,0.58,clear sky
12,Lebu,CL,-37.6167,-73.65,57.31,73,13,6.55,few clouds
13,Lata,PT,40.1629,-8.3327,57.92,54,98,4.09,overcast clouds
14,Aplahoue,BJ,6.9333,1.6833,96.48,16,72,6.6,broken clouds
15,Bredasdorp,ZA,-34.5322,20.0403,77.29,57,70,6.91,broken clouds
16,Port Alfred,ZA,-33.5906,26.891,77.49,78,65,11.48,broken clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,70.83,93,85,6.67,overcast clouds
18,Marsa Matruh,EG,31.3525,27.2453,59.2,51,40,16.11,scattered clouds
19,Saskylakh,RU,71.9167,114.0833,-23.73,95,18,10.22,few clouds
20,Dikson,RU,73.5069,80.5464,8.33,90,100,17.18,overcast clouds
21,San Jose,US,37.3394,-121.895,59.04,74,100,3.0,overcast clouds
22,East London,ZA,-33.0153,27.9116,85.14,65,20,13.8,few clouds
23,Kavieng,PG,-2.5744,150.7967,82.31,75,79,4.79,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,76.69,74,56,9.15,broken clouds
25,Avarua,CK,-21.2078,-159.775,80.65,89,75,14.97,light rain
26,Tahta,EG,26.7693,31.5021,62.92,31,3,13.71,clear sky
27,Mombetsu,JP,44.3525,143.3525,28.58,90,100,7.67,overcast clouds
28,Banjar,ID,-8.19,114.9675,80.46,91,100,4.21,overcast clouds
29,Port Elizabeth,ZA,-33.918,25.5701,85.1,65,20,27.63,few clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,-31.05,99,25,6.85,scattered clouds
31,Hermanus,ZA,-34.4187,19.2345,82.9,68,3,13.8,clear sky
32,Torquay,GB,50.4638,-3.5143,51.33,95,23,3.0,few clouds
33,Barrow,US,71.2906,-156.7887,-16.58,76,0,8.05,clear sky
34,Lavrentiya,RU,65.5833,-171.0,-12.21,89,97,9.08,overcast clouds
35,Tasiilaq,GL,65.6145,-37.6368,12.31,91,100,19.15,snow
36,Tiksi,RU,71.6872,128.8694,-24.38,98,38,7.58,scattered clouds
37,New Norfolk,AU,-42.7826,147.0587,63.9,72,64,1.01,broken clouds
38,Sao Filipe,CV,14.8961,-24.4956,71.92,66,24,5.3,few clouds
39,Wenling,CN,28.3669,121.36,48.9,88,100,11.27,light rain
40,Filadelfia,US,39.9523,-75.1638,14.32,23,3,5.03,clear sky
41,Hobart,AU,-42.8794,147.3294,65.01,83,100,4.61,overcast clouds
42,Nome,US,64.5011,-165.4064,6.17,85,100,0.0,overcast clouds
43,Mazagao,BR,-0.115,-51.2894,77.05,90,71,2.59,broken clouds
44,Busselton,AU,-33.65,115.3333,70.09,61,2,21.54,clear sky
45,Tuatapere,NZ,-46.1333,167.6833,59.83,80,100,4.07,overcast clouds
46,Marawi,PH,7.9986,124.2928,66.65,97,99,3.09,moderate rain
47,Bac Lieu,VN,9.285,105.7244,76.57,75,86,12.97,overcast clouds
48,Broome,US,42.2506,-75.833,2.57,59,0,3.2,clear sky
49,Isangel,VU,-19.55,169.2667,76.71,73,1,7.61,clear sky
50,Faanui,PF,-16.4833,-151.75,77.7,83,100,21.32,light rain
51,Victoria,HK,22.2855,114.1577,69.19,83,56,5.01,broken clouds
52,Hualmay,PE,-11.0964,-77.6139,71.17,83,87,6.11,overcast clouds
53,Maarianhamina,AX,60.0973,19.9348,39.06,87,75,13.8,broken clouds
54,Chuy,UY,-33.6971,-53.4616,75.11,91,99,5.28,light rain
55,Fairbanks,US,64.8378,-147.7164,3.31,85,100,2.39,overcast clouds
56,Mehamn,NO,71.0357,27.8492,24.31,75,100,16.73,overcast clouds
57,Fortuna,US,40.5982,-124.1573,40.12,93,0,11.5,clear sky
58,Zaritap,AM,39.6363,45.5096,22.39,66,100,2.17,overcast clouds
59,Codajas,BR,-3.8367,-62.0569,76.35,92,95,3.02,heavy intensity rain
60,Port Hardy,CA,50.6996,-127.4199,48.76,93,100,19.57,light rain
61,Murgab,TM,37.4966,61.9714,48.07,57,100,11.5,overcast clouds
62,Hasaki,JP,35.7333,140.8333,36.0,55,2,7.54,clear sky
63,Broken Hill,AU,-31.95,141.4333,92.91,21,100,21.85,overcast clouds
64,Hilo,US,19.7297,-155.09,71.26,89,38,3.0,scattered clouds
65,Pevek,RU,69.7008,170.3133,-28.64,97,46,4.7,scattered clouds
66,Santa Rosa,PH,14.3122,121.1114,79.11,72,55,15.66,broken clouds
67,Chokurdakh,RU,70.6333,147.9167,-37.59,100,94,4.23,overcast clouds
68,Maceio,BR,-9.6658,-35.7353,81.84,78,40,2.3,scattered clouds
69,Longyearbyen,SJ,78.2186,15.6401,12.04,57,75,12.66,broken clouds
